key,box_score
comingtoamerica1988,18.5891903374
tradingplaces1983,17.7591851145
animalkingdom2010,13.9890465949
anna2014,7.70577419598
annaandtheking1999,16.8082132385
hitch2005,18.7902098877
ittakestwo1995,16.9850113698
sweethomealabama2002,18.4994636634
annapolis2006,16.735871364
betterlucktomorrow2003,15.928027756
fastfive2011,19.8382991679
annie1982,16.9017033369
anotherearth2011,14.4825805435
iorigins2014,12.578990155
anothergaymovie2006,12.6637913248
gypsy832004,10.7284750251
anotherhappyday2011,11.2128352498
anotheryear2010,14.9200934109
mrturner2014,14.914919398
veradrake2004,12.3071418107
antichrist2009,13.325347661
dancerinthedark2000,14.7727595415
dogville2004,14.0935129875
manderlay2006,11.751387388
melancholia2011,15.3226372253
antitrust2001,16.2055064476
johnnyenglish2003,17.2111513237
lawsofattraction2004,16.5532688165
slidingdoors1998,15.9781767325
antwonefisher2002,16.6358466378
antz1998,18.6980645048
madagascar2005,19.1442680694
penguinsofmadagascar2014,18.5388370003
anydaynow2012,12.5054572254
anythingelse2003,15.2381888878
bluejasmine2013,16.9044000237
celebrity1998,15.8617100772
crimesandmisdemeanors1989,17.1070176954
deconstructingharry1997,16.4752128825
hannahandhersisters1986,17.3205236198
hollywoodending2002,15.8065157989
magicinthemoonlight2014,15.7217073027
manhattan1979,16.4458912704
matchpoint2005,16.4136926861
melindaandmelinda2005,15.0614461798
midnightinparis2011,17.6880161389
scoop2006,16.4479160073
smalltimecrooks2000,17.1340072814
vickycristinabarcelona2008,17.204002151
whateverworks2009,15.5337909667
apocalypsenowredux2001,15.2420322714
jack1996,17.571440558
rumblefish1983,13.3006412188
supernova2000,16.1831130911
apocalypto2006,17.6663039547
braveheart1995,17.7681165197
apollo131995,19.3799641564
backdraft1991,17.6947442452
cinderellaman2005,18.3836962064
edtv1999,17.3749682768
parenthood1989,18.5418396734
ransom1996,19.0085369125
apollo182011,16.6481926158
appaloosa2008,16.8092328035
aprophet2010,15.2262656397
rustandbone2012,13.3672577546
aquamarine2006,16.9670902815
arbitrage2012,16.7262668536
argo2012,18.2110071838
gonebabygone2007,16.9909866962
arlingtonroad1999,17.5881302682
armadillo2011,10.1725892875
armageddon1998,18.7985707261
badboys1995,17.7426400487
pearlharbor2001,18.8469019132
armored2009,16.3855250786
predators2010,17.9506401923
vacancy2007,16.8151848811
armyofdarkness1993,16.5958692201
darkman1990,17.3419336913
dragmetohell2009,18.266660417
forloveofthegame1999,17.7857682975
armyofshadows2006,12.7670947312
aroundtheworldin80days2004,17.0460286205
blended2014,17.304305693
click2006,18.7124068061
herecomestheboom2012,17.2648426309
zookeeper2011,17.9727077066
aroyalaffair2012,13.1433852933
arthurchristmas2011,17.9367698798
mulan1998,18.7146389426
walkingwithdinosaurs2013,16.7242598574
arthurnewman2013,11.7016156926
asabovesobelow2014,16.6964963975
quarantine2008,17.3925946256
asgoodasitgets1997,18.2276255256
broadcastnews1987,17.8977466709
spanglish2004,17.0916159048
termsofendearment1983,17.6217936928
asilaydying2013,11.2514860035
interiorleatherbar2014,10.4800297461
sal2013,10.0013496434
asingleshot2013,10.4427681241
askthedust2006,13.638081891
assaultonprecinct132005,16.6632166358
astroboy2009,16.5687495687
flushedaway2006,18.5277288195
atanyprice2013,11.9293383216
goodbyesolo2009,13.7369007055
ateacher2013,9.65888042381
athousandwords2012,16.4227795941
meetdave2008,16.2734422709
norbit2007,18.1621939923
atm2012,8.52466434119
atmiddleton2014,12.0452317062
atonement2007,16.9035026946
hanna2011,17.5144926988
atouchofsin2013,12.3976712592
stilllife2008,12.6864207143
atowncalledpanic2009,10.3569498216
attacktheblock2011,14.9209423855
attenberg2012,10.4373337807
